country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624548,,0,4,1.00922E+19,
,,12624548,,0,1,1.50564E+19,
,,12624549,,0,4,1.39545E+19,
,,12624548,,0,5,2.34518E+18,
,,12624548,,0,4,1.92381E+18,
,,12624549,,0,7,1.62684E+19,
,,12624549,,0,6,1.04831E+19,
,,12624548,,0,19,1.8143E+19,
,,12624549,,0,2,1.67723E+19,
,,12624548,,0,18,1.97717E+18,
,,12624548,,0,20,1.75847E+19,
,,12624548,,0,2,1.03477E+19,
,,12624549,,0,17,9.2121E+18,
,,12624549,,0,2,1.3125E+18,
,,12624549,,0,14,4.56536E+18,
,,12624548,,0,18,1.22034E+19,
,,12624549,,0,5,1.64112E+19,
,,12624548,,0,19,6.2004E+18,
,,12624549,,0,10,1.10294E+19,
,,12624549,,0,2,1.30037E+19,
,,12624549,,0,13,1.50515E+19,
,,12624548,,0,7,1.79913E+19,
,,12624549,,0,2,1.25813E+19,
,,12624548,,0,12,9.1215E+18,
,,12624548,,0,6,1.78147E+19,
,,12624548,,0,11,1.17404E+19,
,,12624548,,0,5,1.57514E+19,
,,12624548,,0,13,7.85331E+18,
,,12624548,,0,17,1.32852E+19,
,,12624548,,0,14,1.33447E+18,
,,12624549,,0,5,1.16088E+19,
,,12624549,,0,3,1.10009E+19,
JP,4/1/17,12624549,7.57906E+18,6.455542,9,1.5677E+19,GAMES
JP,4/2/17,12624549,1.48911E+19,2.151847,9,1.5677E+19,GAMES
JP,4/6/17,12624549,4.91332E+18,2.166158,9,1.5677E+19,GAMES
,,12624548,,0,12,1.54649E+19,
,,12624549,,0,1,1.8218E+19,
,,12624549,,0,15,1.40476E+19,
,,12624549,,0,7,9.72026E+16,
,,12624549,,0,16,1.46621E+19,
,,12624549,,0,3,5.08975E+18,
,,12624549,,0,12,5.61441E+18,
,,12624549,,0,3,8.54813E+18,
,,12624548,,0,1,1.15048E+19,
,,12624548,,0,6,5.4862E+17,
,,12624549,,0,16,4.43974E+18,
,,12624548,,0,10,2.90731E+18,
,,12624549,,0,3,1.66949E+19,
,,12624549,,0,9,1.40186E+19,
,,12624548,,0,9,3.74165E+18,
,,12624548,,0,16,1.12873E+19,
,,12624548,,0,9,4.22431E+17,
,,12624548,,0,10,6.88529E+18,
,,12624549,,0,5,1.26496E+19,
US,4/7/17,12624548,6.64244E+17,0.99,13,8.95331E+17,GAMES
US,4/1/17,12624548,6.9556E+18,0.99,13,8.95331E+17,GAMES
US,4/5/17,12624548,7.99297E+18,0.99,13,8.95331E+17,GAMES
US,4/3/17,12624548,2.95281E+18,0.99,13,8.95331E+17,GAMES
US,4/5/17,12624548,5.87383E+18,4.99,13,8.95331E+17,GAMES
US,4/4/17,12624548,4.08414E+18,0.99,13,8.95331E+17,GAMES
US,4/2/17,12624548,1.10615E+19,6.99,13,8.95331E+17,GAMES
US,4/1/17,12624548,3.23453E+18,0.99,13,8.95331E+17,GAMES
US,4/5/17,12624548,1.25095E+19,0.99,13,8.95331E+17,GAMES
US,4/6/17,12624548,5.74055E+18,0.99,13,8.95331E+17,GAMES
US,4/7/17,12624548,8.91452E+18,0.99,13,8.95331E+17,GAMES
US,4/1/17,12624548,3.51857E+18,0.99,13,8.95331E+17,GAMES
US,4/7/17,12624548,1.72143E+19,0.99,13,8.95331E+17,GAMES
,,12624548,,0,6,3.55145E+18,
,,12624549,,0,19,1.15656E+19,
,,12624548,,0,1,3.48301E+18,
,,12624549,,0,11,2.94544E+18,
,,12624548,,0,19,1.23535E+19,
,,12624548,,0,9,6.87469E+18,
,,12624549,,0,16,3.1187E+18,
,,12624548,,0,9,3.28063E+18,
,,12624549,,0,12,1.49253E+19,
,,12624549,,0,17,8.69483E+18,
,,12624548,,0,10,1.45219E+19,
,,12624549,,0,16,5.3888E+18,
,,12624549,,0,20,1.48727E+18,
,,12624548,,0,12,5.24376E+18,
,,12624549,,0,9,8.60849E+16,
,,12624548,,0,20,9.08582E+18,
,,12624549,,0,20,3.99624E+18,
,,12624548,,0,10,1.42599E+18,
,,12624549,,0,3,2.50702E+18,
,,12624549,,0,18,1.70008E+19,
US,4/6/17,12624548,1.80138E+19,4.99,12,8.30983E+18,GAMES
,,12624549,,0,2,1.60469E+19,
,,12624548,,0,9,2.62534E+18,
,,12624549,,0,14,2.74351E+18,
,,12624549,,0,15,8.25929E+18,
,,12624548,,0,20,2.6659E+18,
,,12624548,,0,13,1.03858E+18,
,,12624549,,0,3,6.09268E+18,
,,12624549,,0,14,1.11466E+19,
,,12624549,,0,19,1.51819E+19,
,,12624549,,0,9,8.80347E+18,
,,12624548,,0,18,2.11072E+18,
,,12624549,,0,19,6.04194E+17,
